,XX,YY,ZZ,XY,YZ,ZX
XX,274.596630,156.594110,156.594110,0.000000,0.000000,-0.000000
YY,156.594110,274.596630,156.594110,-0.000000,-0.000000,-0.000000
ZZ,156.594110,156.594110,274.596630,-0.000000,0.000000,0.000000
XY,0.000000,-0.000000,-0.000000,130.086010,0.000000,0.000000
YZ,0.000000,-0.000000,0.000000,0.000000,130.086010,0.000000
ZX,-0.000000,-0.000000,0.000000,0.000000,0.000000,130.086010
