frequency_thz,phdos_modes_per_thz
2.75200722,0.4633638426
2.76694564,0.4668073685
2.78188407,0.4701444711
2.79682249,0.4733590380
2.81176091,0.4764375946
2.82669934,0.4793829753
2.84163776,0.4821988498
2.85657618,0.4848995244
2.87151460,0.4875030813
2.88645303,0.4900372401
2.90139145,0.4925288699
2.91632987,0.4950128120
2.93126830,0.4975224476
2.94620672,0.5000945214
2.96114514,0.5027659236
2.97608356,0.5055691914
2.99102199,0.5085289766
3.00596041,0.5116638052
3.02089883,0.5149762611
3.03583726,0.5184559847
3.05077568,0.5220753129
3.06571410,0.5257884093
3.08065252,0.5295372965
3.09559095,0.5332574823
3.11052937,0.5368825449
3.12546779,0.5403519754
3.14040622,0.5436241882
3.15534464,0.5466812632
3.17028306,0.5495296210
3.18522148,0.5522036495
3.20015991,0.5547703334
3.21509833,0.5573195519
3.23003675,0.5599558635
3.24497518,0.5627870424
3.25991360,0.5659120656
3.27485202,0.5694116857
3.28979044,0.5733350228
3.30472887,0.5776943463
3.31966729,0.5824559941
3.33460571,0.5875442411
3.34954414,0.5928463079
3.36448256,0.5982212806
3.37942098,0.6035141388
3.39435940,0.6085651566
3.40929783,0.6132331381
3.42423625,0.6174072162
3.43917467,0.6210169017
3.45411310,0.6240404668
3.46905152,0.6265128454
3.48398994,0.6285186202
3.49892836,0.6301867841
3.51386679,0.6316790113
3.52880521,0.6331809614
3.54374363,0.6348772567
3.55868206,0.6369453616
3.57362048,0.6395355485
3.58855890,0.6427597439
3.60349732,0.6466767636
3.61843575,0.6512867016
3.63337417,0.6565399667
3.64831259,0.6623275588
3.66325102,0.6685004833
3.67818944,0.6748740408
3.69312786,0.6812545289
3.70806628,0.6874504330
3.72300471,0.6932980278
3.73794313,0.6986653618
3.75288155,0.7034787788
3.76781998,0.7077187091
3.78275840,0.7114245929
3.79769682,0.7146896016
3.81263524,0.7176521590
3.82757367,0.7204777688
3.84251209,0.7233507365
3.85745051,0.7264446581
3.87238894,0.7299183351
3.88732736,0.7338936047
3.90226578,0.7384498986
3.91720420,0.7436101108
3.93214263,0.7493343436
3.94708105,0.7555384459
3.96201947,0.7620761328
3.97695790,0.7687717826
3.99189632,0.7754285251
4.00683474,0.7818496532
4.02177316,0.7878525414
4.03671159,0.7933032878
4.05165001,0.7981159340
4.06658843,0.8022843761
4.08152686,0.8058767433
4.09646528,0.8090305933
4.11140370,0.8119435884
4.12634212,0.8148611438
4.14128055,0.8180498466
4.15621897,0.8217640697
